ym,hreg,areg,hret,aret,gap,hstop,astop,cum_h,cum_a
2018-04,Bull,Bull,4.35922051519012,4.35922051519012,0.0,0,0,1.043592205151901,1.043592205151901
2018-05,Bull,Bull,-0.08781628696645961,-0.08781628696645961,0.0,0,0,1.0426757612262654,1.0426757612262654
2018-06,Bull,Bull,-9.361052750349415,-9.361052750349415,0.0,0,0,0.9450703332027673,0.9450703332027673
2018-07,Bear,Bull,3.690238702780456,3.8072880996585208,-0.11704939687806476,4,0,0.9799456844071119,0.9810518835321994
2018-08,Bear,Bull,-2.521232753546658,-1.7982179787402606,-0.7230147748063974,7,0,0.9552389728448729,0.9634104321817535
2018-09,Bear,Bull,-2.1721457124482457,-2.461101376663727,0.28895566421548136,5,0,0.9344897904525883,0.9396999247724064
2018-10,Bull,Bull,-11.672665263759981,-11.685079093329993,0.012413829570011303,1,0,0.8254099252890456,0.8298952453227884
2018-11,Bear,Bull,1.8435873198700523,4.131588655311487,-2.2880013354414346,16,0,0.8406270780086232,0.8641831031295142
2018-12,Bear,Bear,-4.28533737587197,-4.367298343003283,0.0819609671313129,0,0,0.8046033716430193,0.8264416487860246
2019-01,Bull,Bear,8.607425863840694,8.53548249984778,0.07194336399291429,0,5,0.8738590103551548,0.8969824310896091
2019-02,Bull,Bear,-1.9728495066242389,-1.9975628595753354,0.02471335295109664,0,1,0.8566190871807716,0.8790646431892472
2019-03,Bull,Bear,-1.2788211960927425,-2.0438956081060065,0.7650744120132638,0,10,0.8456644607241278,0.8610974795546894
2019-04,Bull,Bear,3.6088775997890945,3.393782455145705,0.2150951446433895,0,4,0.8761834560165781,0.8903212547375183
2019-05,Bull,Bear,-6.72349722338542,-7.1562427349270425,0.4327455115416226,0,17,0.817273285679541,0.8266077046278534
2019-06,Bull,Bear,3.435750385704915,3.339033700281903,0.09671668542301226,0,1,0.8453527557445392,0.8542084144545041
2019-07,Bear,Bull,-6.100366395344368,-8.88339540727455,2.7830290119301835,14,0,0.7937831403109817,0.7783257033962999
2019-08,Bear,Bull,-1.9079502331187603,-1.5989412932112028,-0.3090089399075575,14,0,0.778638153034961,0.76588073232902
2019-09,Bear,Bear,5.174683213153044,1.5922901480491334,3.58239306510391,0,10,0.818930210831266,0.7780757757757015
2019-10,Bear,Bear,-5.21199576876794,-5.375278689444951,0.16328292067701103,3,4,0.7762476028935781,0.7362520344126967
2019-11,Bull,Bull,-0.11899427919649856,-0.12464165644557366,0.005647377249075108,1,1,0.7753239126537348,0.7353343576813904
2019-12,Bull,Bull,3.314793061411624,3.314793061411624,0.0,0,0,0.8010242959138459,0.7597091699479889
2020-01,Bull,Bull,-4.811782190704796,-4.811782190704796,0.0,0,0,0.7624807514998451,0.7231536194072803
2020-02,Bear,Bull,-5.432188516786947,-6.173668148304309,0.7414796315173624,24,0,0.7210613596741596,0.6785085147426232
2020-03,Bear,Bear,-10.108859949731528,-8.630935356451127,-1.477924593280401,30,30,0.6481702766730689,0.6199468834471707
2020-04,Bear,Bear,13.093041418298352,13.093041418298352,0.0,2,2,0.7330354794589728,0.7011167856683586
2020-05,Bull,Bull,8.512076508748825,8.512076508748825,0.0,0,0,0.7954320203067945,0.7607963828801299
2020-06,Bull,Bull,-2.558725040147099,-2.558725040147099,0.0,0,0,0.7750791020258565,0.7413296953268426
2020-07,Bull,Bull,7.130370406308563,7.130370406308563,0.0,0,0,0.8303451129421904,0.7941892485356052
2020-08,Bull,Bull,5.156629932310832,5.156629932310832,0.0,0,0,0.8731629375776475,0.8351426490447867
2020-09,Bull,Bull,4.312000077020737,4.312000077020737,0.0,0,0,0.9108137241185121,0.8711540007148308
2020-10,Bull,Bull,0.3843715333729809,0.3843715333729809,0.0,0,0,0.914314632796078,0.8745024687054186
2020-11,Bull,Bull,10.577638696114196,10.577638696114196,0.0,0,0,1.0110275311989503,0.9670041802336768
2020-12,Bull,Bull,10.249222241576389,10.249222241576389,0.0,0,0,1.1146499897950537,1.0661145877511602
2021-01,Bull,Bull,15.078413914536496,15.078413914536496,0.0,0,0,1.2827215289546907,1.2268677580955347
2021-02,Bull,Bull,-0.10624680003278948,-0.10624680003278948,0.0,0,0,1.2813586783768447,1.2255642503619242
