feature,sep,kurt_v,ac,slow_z,pre_z,h1,h2,covid_z,corr_base,base,pass_all
breadth,2.4543586156796118,-0.28508904678392133,0.8495765777120546,-0.9441799468440764,0.5654979405033543,-0.7398853140510842,-1.1484745796370688,-1.3553081516069199,0.6592771347000254,True,False
newlow,1.7457296241016287,18.694935764354188,0.13883551404063327,0.34621852342101933,-0.33330049498438014,0.1363138007870358,0.5561232460550027,2.9434493245504028,0.359144264528782,True,False
trend,1.8842990187837307,2.688484636338429,0.8578705126892121,-0.9903113969532384,-0.35402072071369,-0.9318217481165297,-1.048801045789947,-0.7447037226504564,0.6592771347000255,True,False
sox_3m,3.9225309707541465,7.94610505928943,0.5658767422590176,-0.7909579166115084,-0.3269959973050494,-0.6134317880407851,-0.9684840451822317,-0.7220834981144265,0.7078268945948395,False,False
sp500_3m,1.419491404871528,0.812649918804178,0.5651554979430263,-0.8695291371898585,0.0835415860466893,-0.752988403740434,-0.9860698706392829,-1.414626932272329,0.47293442398387864,False,False
vix,1.835181706051606,5.399282823587104,0.6068893086356507,0.8479505023964585,-0.16519296790851262,0.9214825933482458,0.7744184114446714,2.5902262517034464,0.23592076886823302,False,False
indiv_3m,6.592127210250001,-1.5245995572263717,0.9961145572911457,1.0102012089238313,0.7078112397466924,0.8728443238665791,1.1475580939810832,-1.4711738065850122,0.09956108922923255,False,True
inst_3m,6.387283818712893,-1.6867472527045682,0.9946939815287053,-0.7834313207684112,-0.5334080845821967,-0.6751422700662837,-0.8917203714705386,1.4291858371479735,0.044473265707462135,False,True
frn_3m,3.209127640354827,1.073707187412011,0.9833079952930128,-0.8513844414316403,-0.5470435491927553,-0.7025791182726381,-1.0001897645906423,1.1758387494176885,0.374552227892969,False,True
sox_rs,0.017576740044681766,3.2014168274446497,0.5826501758899798,-0.33834091959473045,0.3459209213392862,-0.07504198552646368,-0.6016398536629972,0.0052319425843046705,0.12713024622589497,False,False
ind_frn,5.2076209820048405,-1.2907166934649585,0.9927315719168668,0.9849748553368061,0.6715929229399229,0.8386675404299332,1.131282170243679,-1.410438935260881,0.20597320599307095,False,True
leading_index,3.0439089350926145,-0.8870891036977842,0.9995290362275089,0.11782321317827382,0.017848050981880713,0.04172271658101968,0.19392370977553094,-0.9535524055830905,0.5038392060577856,False,False
leading_index_yoy,2.036185073014086,0.06028179732932237,0.9758599240996758,-0.326489718143808,2.1014405921239505,0.3022994767949687,-0.9552789130825848,-0.1403708331623688,0.5124618897836759,False,False
leading_index_d3,1.952651733111624,0.5352931308546327,0.9151326890327498,-0.6812642161212713,0.4532860389479119,-0.9563067021986464,-0.4062217300438962,0.653837851712666,0.6787860737003008,False,True
bsi_all,1.4323215686703343,0.7099678536237986,0.9262033934943595,1.286050050962877,1.8230543050850665,1.5513933294703126,1.0207067724554415,0.18677075428921466,0.27727836011730894,False,False
bsi_all_yoy,3.986208346189532,6.463036123106127,0.9167877442675165,0.21573408743617814,2.55824116017529,0.8206701553332816,-0.3892019804609253,0.27663794662529556,0.29556092149201374,False,False
bsi_all_d3,6.65426359767483,3.8021834087136392,0.7417956766528526,-0.30374978946465575,0.20066836268211624,-0.1684180901082047,-0.4390814888211068,0.6599759483767379,0.4482296794939939,False,False
csi_outlook,2.4367824601772776,-0.59857316623529,0.8633371976949644,-0.3585423494406082,0.8037172665633132,0.7394448454018057,-1.4565295442830226,0.028877522560699278,0.44121160184358726,False,False
csi_outlook_yoy,2.1933143490090172,-0.5444016519556576,0.8646298618335597,-0.7575041557105655,1.001806230075454,-0.036880378222376935,-1.4781279331987542,0.1367206654844163,0.5126911624185616,False,True
csi_outlook_d3,0.9299412968792667,1.3165978599651238,0.6756300111868634,-0.6036952078343403,-0.70971499710448,-0.1021400509025246,-1.1052503647661558,0.3749490008131049,0.4673199737301009,False,False
cpi,3.818454521175909,-1.5229360595373025,0.9988214564387377,-0.04057379931739062,-0.6007241102968477,-0.29539220694768537,0.21424460831290215,-0.9812436638267659,0.4168224524191292,False,False
cpi_yoy,2.1446918092085356,-0.05261013681372262,0.9688408525533159,1.6356036906399156,0.18323030060554518,1.0575338814360438,2.213673499843788,-0.8595605167875365,0.24787383969169355,False,False
cpi_d3,1.8180962737753847,-0.14870316170401798,0.6997622154256445,1.0138864370102618,0.08893389801316556,1.1637960546867492,0.8639768193337747,-0.5996985362023194,0.09019680250214278,False,False
ppi,4.149382209303641,-1.5694214488689855,0.9979023851694672,0.32067526593476625,-0.3933290809999537,-0.007404815249053454,0.6487553471185844,-1.0746457106160208,0.3144543301031881,False,False
ppi_yoy,4.742535708524405,-0.19489538686936747,0.9744790901095134,1.9423673849533258,1.392126078766029,1.9353895329057542,1.9493452370008972,-0.6589823884572878,0.2797360768362496,False,True
ppi_d3,1.3312671654026609,3.20529298912129,0.877796506481148,0.8893063047124683,0.9168870099924478,0.939758814370963,0.838853795053974,-0.5758345757702295,0.15165789470883162,False,False
