ym,breadth,newlow,trend
2018-04,0.5277,0.0173,0.0259
2018-05,0.5087,0.0447,-0.0135
2018-06,0.3502,0.0954,-0.0551
2018-07,0.2402,0.0188,-0.0647
2018-08,0.2977,0.0172,-0.0432
2018-09,0.3309,0.0157,-0.0268
2018-10,0.0838,0.0785,-0.1565
2018-11,0.1602,0.0228,-0.1031
2018-12,0.1631,0.0199,-0.1159
2019-01,0.3043,0.0043,-0.0215
2019-02,0.3177,0.0113,-0.0159
2019-03,0.3314,0.0283,-0.0278
2019-04,0.5121,0.0113,0.009
2019-05,0.3045,0.0353,-0.0576
2019-06,0.4199,0.0226,-0.0071
2019-07,0.2068,0.0862,-0.0463
2019-08,0.1907,0.0085,-0.0672
2019-09,0.2274,0.0297,-0.0179
2019-10,0.2161,0.0353,-0.0088
2019-11,0.2228,0.0422,-0.0061
2019-12,0.2976,0.0154,0.0475
2020-01,0.2003,0.2503,0.0097
2020-02,0.1171,0.4665,-0.0527
2020-03,0.0801,0.0028,-0.1623
2020-04,0.2587,0.0028,-0.0453
2020-05,0.3692,0.0042,0.0003
2020-06,0.3552,0.0042,0.0281
2020-07,0.4889,0.0056,0.085
2020-08,0.5306,0.0069,0.1065
2020-09,0.5961,0.0028,0.0943
2020-10,0.5772,0.0083,0.0598
2020-11,0.8264,0.0028,0.179
2020-12,0.8571,0.0028,0.251
2021-01,0.7642,0.0028,0.2255
2021-02,0.7535,0.0069,0.1934
2021-03,0.8174,0.0014,0.1659
2021-04,0.8135,0.0123,0.1511
2021-05,0.8234,0.0082,0.1362
2021-06,0.8471,0.0082,0.1301
2021-07,0.7658,0.015,0.0682
2021-08,0.6145,0.0095,0.039
2021-09,0.4918,0.0243,-0.0189
2021-10,0.4175,0.0216,-0.0565
2021-11,0.1528,0.2871,-0.0967
2021-12,0.2343,0.0067,-0.0465
2022-01,0.1338,0.0148,-0.1516
2022-02,0.1781,0.0121,-0.125
2022-03,0.3055,0.0094,-0.0866
2022-04,0.4086,0.0134,-0.0896
2022-05,0.3562,0.0081,-0.0719
2022-06,0.1342,0.0591,-0.1882
2022-07,0.1799,0.0067,-0.1101
2022-08,0.2443,0.0147,-0.081
2022-09,0.0966,0.3012,-0.1946
2022-10,0.1208,0.0388,-0.1042
2022-11,0.2658,0.0054,-0.0111
2022-12,0.1687,0.1242,-0.0968
2023-01,0.3061,0.008,-0.0014
2023-02,0.3556,0.0173,0.0032
2023-03,0.389,0.012,0.0386
2023-04,0.4126,0.032,0.0422
2023-05,0.4834,0.0385,0.0671
2023-06,0.5173,0.0331,0.0563
2023-07,0.3599,0.0132,0.0692
2023-08,0.374,0.0118,0.028
2023-09,0.2884,0.042,-0.0126
2023-10,0.1913,0.1337,-0.0943
2023-11,0.3434,0.0183,0.0107
2023-12,0.3666,0.0065,0.0528
2024-01,0.3136,0.0418,-0.0127
2024-02,0.4034,0.0391,0.0402
2024-03,0.3982,0.0312,0.0727
2024-04,0.4276,0.0182,0.0494
2024-05,0.4349,0.0519,0.0243
2024-06,0.4455,0.0427,0.0765
2024-07,0.4041,0.0543,0.054
2024-08,0.3364,0.0154,0.0083
2024-09,0.3247,0.018,-0.0261
2024-10,0.2972,0.0347,-0.0416
2024-11,0.239,0.0924,-0.0813
2024-12,0.2214,0.0371,-0.0972
2025-01,0.2774,0.0476,-0.0422
2025-02,0.3161,0.0514,-0.0326
2025-03,0.2317,0.1677,-0.0485
2025-04,0.4422,0.0137,-0.0065
2025-05,0.6078,0.015,0.0544
2025-06,0.6946,0.0149,0.1732
2025-07,0.7025,0.0162,0.2033
2025-08,0.6222,0.0299,0.1628
2025-09,0.581,0.0361,0.2008
2025-10,0.5616,0.0559,0.3395
2025-11,0.5592,0.0261,0.2442
2025-12,0.5261,0.0522,0.265
2026-01,0.5684,0.0298,0.4094
2026-02,0.6878,0.0347,0.5145
2026-03,0.4714,0.0509,0.2245
2026-04,0.6687,0.0199,0.4114
2026-05,0.4167,0.1677,0.5729
2026-06,0.2491,0.0348,0.4631
2026-07,0.2082,0.0187,0.1399
