model,seed,cagr,sharpe,mdd,exp,lift,fp,bear_ratio
production,42,0.21276047908564188,0.9212926835485239,-0.252631465501611,0.659,1.2326490713587488,18.0,0.31958762886597936
t-emission ν=4,42,0.1360288516748911,0.9092556410827345,-0.12694675217485019,0.41350000000000015,0.9964047252182845,39.0,0.6082474226804123
t-emission ν=8,42,0.130826061935422,0.6358601056581318,-0.4365006001231143,0.9465,,0.0,0.0
t ν=4,0,0.1818401065705657,0.8723402784504308,-0.18258088019178875,0.41900000000000004,,,
t ν=4,1,0.1818401065705657,0.8723402784504308,-0.18258088019178875,0.41900000000000004,,,
t ν=4,7,0.1818401065705657,0.8723402784504308,-0.18258088019178875,0.41900000000000004,,,
t ν=4,42,0.1360288516748911,0.9092556410827345,-0.12694675217485019,0.41350000000000015,,,
t ν=4,123,0.1360288516748911,0.9092556410827345,-0.12694675217485019,0.41350000000000015,,,
t ν=8,0,0.16225614312956527,0.8449342854148278,-0.10314726809133656,0.3420000000000001,,,
t ν=8,1,0.16225614312956527,0.8449342854148278,-0.10314726809133656,0.3420000000000001,,,
t ν=8,7,0.16225614312956527,0.8449342854148278,-0.10314726809133656,0.3420000000000001,,,
t ν=8,42,0.130826061935422,0.6358601056581318,-0.4365006001231143,0.9465,,,
t ν=8,123,0.130826061935422,0.6358601056581318,-0.4365006001231143,0.9465,,,
