,bond_10y,usd_krw,kodex200
2018-04-02,2.643,1056.6,26873.0
2018-04-03,2.634,1054.2,26819.0
2018-04-04,2.617,1059.8,26406.0
2018-04-05,2.633,1059.7,26772.0
2018-04-06,2.607,1069.6,26642.0
2018-04-09,2.613,1067.1,26827.0
2018-04-10,2.622,1066.4,26852.0
2018-04-11,2.596,1066.3,26768.0
2018-04-12,2.58,1069.5,26764.0
2018-04-13,2.603,1069.5,26941.0
2018-04-16,2.625,1074.0,26962.0
2018-04-17,2.636,1067.0,26924.0
2018-04-18,2.652,1068.7,27223.0
2018-04-19,2.647,1061.5,27375.0
2018-04-20,2.671,1067.3,27194.0
2018-04-23,2.725,1069.0,27177.0
2018-04-24,2.726,1076.8,27025.0
2018-04-25,2.762,1080.6,26852.0
2018-04-26,2.749,1080.9,27190.0
2018-04-27,2.7,1076.6,27438.0
2018-04-30,2.713,1068.0,27617.0
2018-05-02,2.751,1076.1,27420.0
2018-05-03,2.751,1076.3,27326.0
2018-05-04,2.761,1077.2,27108.0
2018-05-08,2.787,1076.5,26984.0
2018-05-09,2.805,1080.9,26895.0
2018-05-10,2.772,1073.1,27078.0
2018-05-11,2.785,1069.3,27245.0
2018-05-14,2.795,1068.0,27190.0
2018-05-15,2.814,1073.8,26942.0
2018-05-16,2.794,1077.6,27027.0
2018-05-17,2.796,1081.2,26929.0
2018-05-18,2.765,1077.6,27014.0
2018-05-21,2.769,1085.4,27057.0
2018-05-23,2.747,1080.7,27241.0
2018-05-24,2.72,1079.6,27155.0
2018-05-25,2.716,1078.0,27198.0
2018-05-28,2.726,1074.2,27314.0
2018-05-29,2.693,1076.8,27061.0
2018-05-30,2.697,1080.9,26484.0
2018-05-31,2.695,1077.7,26591.0
2018-06-01,2.703,1075.0,26753.0
2018-06-04,2.733,1071.9,26895.0
2018-06-05,2.716,1070.7,26954.0
2018-06-07,2.75,1069.0,27190.0
2018-06-08,2.714,1075.9,26924.0
2018-06-11,2.732,1075.2,27160.0
2018-06-12,2.721,1077.2,27125.0
2018-06-14,2.711,1083.1,26630.0
2018-06-15,2.672,1097.7,26497.0
2018-06-18,2.65,1104.8,26181.0
2018-06-19,2.62,1109.1,25843.0
2018-06-20,2.618,1105.1,26027.0
2018-06-21,2.594,1112.8,25804.0
2018-06-22,2.608,1107.4,26001.0
2018-06-25,2.605,1117.2,25988.0
2018-06-26,2.618,1114.8,25958.0
2018-06-27,2.576,1117.6,25864.0
2018-06-28,2.558,1124.2,25633.0
2018-06-29,2.556,1114.5,25689.0
2018-07-02,2.53,1120.0,25116.0
2018-07-03,2.577,1118.7,25150.0
2018-07-04,2.547,1114.5,25078.0
2018-07-05,2.545,1118.6,25018.0
2018-07-06,2.555,1115.9,25197.0
2018-07-09,2.558,1112.2,25385.0
2018-07-10,2.553,1116.0,25420.0
2018-07-11,2.512,1120.0,25274.0
2018-07-12,2.542,1125.9,25351.0
2018-07-13,2.556,1123.5,25603.0
2018-07-16,2.546,1129.2,25527.0
2018-07-17,2.552,1124.1,25497.0
2018-07-18,2.53,1132.3,25437.0
2018-07-19,2.54,1133.2,25368.0
2018-07-20,2.522,1133.7,25492.0
2018-07-23,2.535,1131.4,25287.0
2018-07-24,2.575,1135.2,25364.0
2018-07-25,2.546,1126.3,25317.0
2018-07-26,2.55,1119.3,25488.0
2018-07-27,2.571,1118.1,25565.0
2018-07-30,2.573,1120.2,25505.0
2018-07-31,2.567,1118.7,25539.0
2018-08-01,2.589,1120.6,25629.0
2018-08-02,2.574,1126.1,25171.0
2018-08-03,2.58,1127.6,25368.0
