2018-12-03: 이벤트 16건, 투입된 대체종목 16개
2019-01-02: 이벤트 3건, 투입된 대체종목 3개
2019-03-04: 이벤트 3건, 투입된 대체종목 3개
2019-04-01: 이벤트 2건, 투입된 대체종목 2개
2019-05-02: 이벤트 19건, 투입된 대체종목 19개
2019-09-02: 이벤트 10건, 투입된 대체종목 10개
2019-10-01: 이벤트 4건, 투입된 대체종목 4개
2020-03-02: 이벤트 25건, 투입된 대체종목 25개
2021-05-03: 이벤트 5건, 투입된 대체종목 5개
2022-05-02: 이벤트 14건, 투입된 대체종목 14개
2022-06-02: 이벤트 26건, 투입된 대체종목 26개
2022-07-01: 이벤트 7건, 투입된 대체종목 7개
2022-08-01: 이벤트 5건, 투입된 대체종목 5개
2022-09-01: 이벤트 21건, 투입된 대체종목 21개
2022-10-04: 이벤트 2건, 투입된 대체종목 2개
2022-11-01: 이벤트 1건, 투입된 대체종목 1개
2022-12-01: 이벤트 12건, 투입된 대체종목 12개
2024-05-02: 이벤트 9건, 투입된 대체종목 9개
2024-10-02: 이벤트 15건, 투입된 대체종목 15개
2024-11-01: 이벤트 9건, 투입된 대체종목 9개
2024-12-02: 이벤트 3건, 투입된 대체종목 3개
2025-01-02: 이벤트 3건, 투입된 대체종목 3개
2025-04-01: 이벤트 19건, 투입된 대체종목 19개
2025-05-02: 이벤트 2건, 투입된 대체종목 2개
