총 235건

기간시작          손절종목              대체종목              진입일               손절수익률      비중
--------------------------------------------------------------------------------------------
2018-12-03    POSCO홀딩스          한국타이어앤테크놀로지       2018-12-04        -1.7%   10.4%
2018-12-03    태광산업              한화솔루션             2018-12-04        -0.7%    0.7%
2018-12-03    태영건설              LS                2018-12-04        +0.0%    0.4%
2018-12-03    효성                넥센타이어             2018-12-28        -3.5%    0.3%
2018-12-03    SK하이닉스            삼양홀딩스             2018-12-20       -16.9%   23.7%
2018-12-03    아이에스동서            빙그레               2018-12-04        -1.8%    0.4%
2018-12-03    금호석유화학            현대모비스             2018-12-10       -10.7%    1.3%
2018-12-03    현대백화점             LG                2018-12-04        -0.2%    1.0%
2018-12-03    롯데정밀화학            롯데쇼핑              2018-12-04        -1.8%    0.5%
2018-12-03    세아베스틸지주           신세계               2018-12-04        -1.2%    0.3%
2018-12-03    GS                OCI홀딩스            2018-12-04        -0.4%    2.2%
2018-12-03    DB하이텍             영원무역              2018-12-26       -15.9%    0.3%
2018-12-03    한화                현대홈쇼핑             2018-12-04        -1.9%    1.1%
2018-12-03    대한유화              TKG휴켐스            2018-12-04        -2.6%    0.5%
2018-12-03    LF                LG헬로비전            2018-12-04        -2.6%    0.3%
2018-12-03    현대제철              풍산                2018-12-04        +0.5%    2.8%
2019-01-02    TKG휴켐스            LS                2019-01-04        -5.1%    0.4%
2019-01-02    롯데케미칼             넥센타이어             2019-01-04        -6.7%    4.1%
2019-01-02    한국타이어앤테크놀로지       빙그레               2019-01-08        -8.8%    2.2%
2019-03-04    롯데정밀화학            현대제철              2019-03-28       -13.1%    0.6%
2019-03-04    대한유화              한국타이어앤테크놀로지       2019-03-27       -10.3%    0.5%
2019-03-04    롯데케미칼             한화솔루션             2019-03-22       -10.2%    5.0%
2019-04-01    GS건설              현대백화점             2019-04-10        -6.7%    1.4%
2019-04-01    태광산업              대우건설              2019-04-23        -8.2%    0.8%
2019-05-02    대한유화              TKG휴켐스            2019-05-13        -6.3%    0.4%
2019-05-02    SK하이닉스            이마트               2019-05-22       -14.6%   24.4%
2019-05-02    LS                대우건설              2019-05-10        -8.1%    0.7%
2019-05-02    현대지에프홀딩스          아이에스동서            2019-05-24       -10.8%    0.6%
2019-05-02    POSCO홀딩스          NICE              2019-05-10        -5.1%    9.2%
2019-05-02    SK                SK가스              2019-05-29       -11.2%    7.5%
2019-05-02    SK이노베이션           삼성전기              2019-05-28       -12.0%    7.0%
2019-05-02    오리온홀딩스            KT                2019-05-20        -9.8%    0.5%
2019-05-02    세방전지              CJ제일제당            2019-05-29       -11.7%    0.3%
2019-05-02    CJ                신세계               2019-05-13       -10.3%    1.5%
2019-05-02    LF                LS ELECTRIC       2019-05-21       -10.6%    0.3%
