월,breadth,신저가,추세,스트레스z,pbear_raw,pbear(최종),주식비중
2018-01,0.6,0.0,0.067,0.59,1.0,1.0,0.2
2018-02,0.49,0.03,0.0,0.45,1.0,1.0,0.2
2018-03,0.46,0.01,0.001,0.45,1.0,1.0,0.2
2018-04,0.55,0.02,0.026,0.53,1.0,1.0,0.2
2018-05,0.52,0.04,-0.013,0.48,1.0,1.0,0.2
2018-06,0.35,0.09,-0.055,0.26,1.0,1.0,0.2
2018-07,0.28,0.01,-0.065,0.27,1.0,1.0,0.2
2018-08,0.33,0.02,-0.043,0.31,1.0,1.0,0.2
2018-09,0.34,0.03,-0.027,0.31,1.0,1.0,0.2
2018-10,0.11,0.06,-0.156,0.05,1.0,1.0,0.2
2018-11,0.16,0.02,-0.103,0.14,1.0,1.0,0.2
2018-12,0.14,0.02,-0.116,0.12,1.0,1.0,0.2
2019-01,0.29,0.0,-0.021,0.29,0.96,0.98,0.2
2019-02,0.33,0.01,-0.016,0.32,0.92,0.95,0.2
2019-03,0.37,0.02,-0.028,0.35,0.89,0.92,0.2
2019-04,0.56,0.01,0.009,0.54,0.35,0.63,0.37
2019-05,0.35,0.03,-0.058,0.32,0.77,0.7,0.3
2019-06,0.45,0.04,-0.007,0.41,0.53,0.62,0.38
2019-07,0.28,0.07,-0.046,0.21,0.9,0.76,0.24
2019-08,0.25,0.01,-0.067,0.24,0.99,0.88,0.2
2019-09,0.31,0.03,-0.018,0.28,0.95,0.91,0.2
2019-10,0.31,0.02,-0.009,0.28,0.92,0.92,0.2
2019-11,0.3,0.03,-0.006,0.27,0.9,0.91,0.2
2019-12,0.4,0.01,0.048,0.38,0.49,0.7,0.3
2020-01,0.32,0.13,0.01,0.19,0.99,0.84,0.2
2020-02,0.21,0.31,-0.053,-0.1,1.0,0.92,0.2
2020-03,0.14,0.01,-0.162,0.13,1.0,0.96,0.2
2020-04,0.3,0.01,-0.045,0.29,1.0,0.98,0.2
2020-05,0.45,0.01,0.0,0.44,0.94,0.96,0.2
2020-06,0.46,0.01,0.028,0.45,0.71,0.84,0.2
2020-07,0.6,0.01,0.085,0.59,0.06,0.45,0.55
2020-08,0.6,0.01,0.106,0.59,0.01,0.23,0.77
2020-09,0.66,0.01,0.094,0.65,0.01,0.12,0.88
2020-10,0.6,0.01,0.06,0.59,0.01,0.06,0.94
2020-11,0.79,0.01,0.179,0.78,0.0,0.03,0.97
2020-12,0.8,0.02,0.251,0.79,0.0,0.02,0.98
2021-01,0.7,0.01,0.225,0.69,0.0,0.01,0.99
2021-02,0.68,0.02,0.193,0.66,0.0,0.01,0.99
2021-03,0.72,0.01,0.166,0.71,0.0,0.0,1.0
2021-04,0.74,0.02,0.151,0.72,0.0,0.0,1.0
2021-05,0.74,0.02,0.136,0.72,0.0,0.0,1.0
2021-06,0.76,0.01,0.13,0.75,0.0,0.0,1.0
2021-07,0.7,0.02,0.068,0.68,0.02,0.01,0.99
2021-08,0.57,0.02,0.039,0.55,0.01,0.01,0.99
2021-09,0.42,0.04,-0.019,0.38,0.06,0.03,0.97
2021-10,0.37,0.03,-0.057,0.34,0.05,0.04,0.96
2021-11,0.2,0.23,-0.097,-0.03,1.0,0.52,0.48
2021-12,0.31,0.02,-0.047,0.29,0.09,0.3,0.7
2022-01,0.17,0.03,-0.152,0.14,0.0,0.15,0.85
2022-02,0.19,0.02,-0.125,0.16,0.0,0.08,0.92
